,,ナビデータ中身
2019/11/10,12:00:01,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120000114
2019/11/10,12:00:02,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120001114
2019/11/10,12:00:03,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120002114
2019/11/10,12:00:04,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120003114
2019/11/10,12:00:05,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120004114
2019/11/10,12:00:06,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120005114
2019/11/10,12:00:07,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120006114
2019/11/10,12:00:08,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120007114
2019/11/10,12:00:09,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120008114
2019/11/10,12:00:10,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120009114
2019/11/10,12:00:11,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120010114
2019/11/10,12:00:12,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120011114
2019/11/10,12:00:13,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120012114
2019/11/10,12:00:14,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120013114
2019/11/10,12:00:15,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120014114
2019/11/10,12:00:16,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120015114
2019/11/10,12:00:17,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120016114
2019/11/10,12:00:18,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120017114
2019/11/10,12:00:19,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120018114
2019/11/10,12:00:20,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120019114
2019/11/10,12:00:21,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120020114
2019/11/10,12:00:22,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120021114
2019/11/10,12:00:23,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120022114
2019/11/10,12:00:24,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120023114
2019/11/10,12:00:25,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120024114
2019/11/10,12:00:26,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120025114
2019/11/10,12:00:27,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120026114
2019/11/10,12:00:28,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120027114
2019/11/10,12:00:29,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120028114
2019/11/10,12:00:30,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120029114
2019/11/10,12:00:31,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120030114
2019/11/10,12:00:32,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120031114
2019/11/10,12:00:33,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120032114
2019/11/10,12:00:34,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120033114
2019/11/10,12:00:35,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120034114
2019/11/10,12:00:36,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120035114
2019/11/10,12:00:37,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120036114
2019/11/10,12:00:38,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120037114
2019/11/10,12:00:39,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120038114
2019/11/10,12:00:40,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120039114
2019/11/10,12:00:41,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120040114
2019/11/10,12:00:42,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120041114
2019/11/10,12:00:43,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120042114
2019/11/10,12:00:44,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120043114
2019/11/10,12:00:45,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120044114
2019/11/10,12:00:46,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120045114
2019/11/10,12:00:47,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120046114
2019/11/10,12:00:48,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120047114
2019/11/10,12:00:49,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120048114
2019/11/10,12:00:50,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120049114
2019/11/10,12:00:51,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120050114
2019/11/10,12:00:52,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120051114
2019/11/10,12:00:53,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120052114
2019/11/10,12:00:54,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120053114
2019/11/10,12:00:55,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120054114
2019/11/10,12:00:56,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120055114
2019/11/10,12:00:57,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120056114
2019/11/10,12:00:58,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120057114
2019/11/10,12:00:59,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120058114
2019/11/10,12:01:00,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120059114
2019/11/10,12:01:01,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120100114
2019/11/10,12:01:02,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120101114
2019/11/10,12:01:03,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120102114
2019/11/10,12:01:04,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120103114
2019/11/10,12:01:05,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120104114
2019/11/10,12:01:06,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120105114
2019/11/10,12:01:07,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120106114
2019/11/10,12:01:08,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120107114
2019/11/10,12:01:09,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120108114
2019/11/10,12:01:10,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120109114
2019/11/10,12:01:11,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120110114
2019/11/10,12:01:12,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120111114
2019/11/10,12:01:13,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120112114
