,,ナビデータ中身
2019/11/10,12:00:01,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120000007
2019/11/10,12:00:02,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120001007
2019/11/10,12:00:03,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120002007
2019/11/10,12:00:04,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120003007
2019/11/10,12:00:05,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120004007
2019/11/10,12:00:06,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120005007
2019/11/10,12:00:07,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120006007
2019/11/10,12:00:08,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120007007
2019/11/10,12:00:09,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120008007
2019/11/10,12:00:10,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120009007
2019/11/10,12:00:11,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120010007
2019/11/10,12:00:12,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120011007
2019/11/10,12:00:13,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120012007
2019/11/10,12:00:14,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120013007
2019/11/10,12:00:15,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120014007
2019/11/10,12:00:16,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120015007
2019/11/10,12:00:17,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120016007
2019/11/10,12:00:18,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120017007
2019/11/10,12:00:19,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120018007
2019/11/10,12:00:20,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120019007
2019/11/10,12:00:21,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120020007
2019/11/10,12:00:22,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120021007
2019/11/10,12:00:23,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120022007
2019/11/10,12:00:24,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120023007
2019/11/10,12:00:25,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120024007
2019/11/10,12:00:26,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120025007
2019/11/10,12:00:27,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120026007
2019/11/10,12:00:28,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120027007
2019/11/10,12:00:29,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120028007
2019/11/10,12:00:30,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120029007
2019/11/10,12:00:31,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120030007
2019/11/10,12:00:32,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120031007
2019/11/10,12:00:33,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120032007
2019/11/10,12:00:34,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120033007
2019/11/10,12:00:35,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120034007
2019/11/10,12:00:36,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120035007
2019/11/10,12:00:37,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120036007
2019/11/10,12:00:38,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120037007
2019/11/10,12:00:39,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120038007
2019/11/10,12:00:40,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120039007
2019/11/10,12:00:41,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120040007
2019/11/10,12:00:42,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120041007
2019/11/10,12:00:43,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120042007
2019/11/10,12:00:44,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120043007
2019/11/10,12:00:45,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120044007
2019/11/10,12:00:46,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120045007
2019/11/10,12:00:47,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120046007
2019/11/10,12:00:48,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120047007
2019/11/10,12:00:49,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120048007
