,,ナビデータ中身
2019/11/10,12:00:01,CVGPSR003FB03000489000489037461801140293656+060000013341+00030120000014
2019/11/10,12:00:02,CVGPSR003FB03000489000489037461801140293656+060000013341+00030120001014
2019/11/10,12:00:04,CVGPSR003FB03000489000489037461801140293656+060000013341+00030120002014
2019/11/10,12:00:04,CVGPSR003FB03000489000489037461801140293656+060000013341+00030120003014
2019/11/10,12:00:05,CVGPSR003FB03000489000489037461801140293656+060000013341+00030120004014
2019/11/10,12:00:06,CVGPSR003FB03000489000489037461801140293656+060000013341+00030120005014
2019/11/10,12:00:08,CVGPSR003FB03000489000489037461801140293656+060000013341+00030120006014
2019/11/10,12:00:08,CVGPSR003FB03000489000489037461801140293653+060000013341+00030120007014
2019/11/10,12:00:09,CVGPSR003FB03000489000489037461801140293653+060000013341+00030120008014
2019/11/10,12:00:10,CVGPSR003FB03000489000489037461801140293653+060000013341+00030120009014
2019/11/10,12:00:11,CVGPSR003FB03000489000489037461801140293653+060000013341+00030120010014
2019/11/10,12:00:12,CVGPSR003FB03000489000489037461801140293653+060000013341+00030120011014
2019/11/10,12:00:13,CVGPSR003FB03000489000489037461801140293653+060000013341+00030120012014
2019/11/10,12:00:15,CVGPSR003FB03000489000489037461801140293653+060000013341+00030120013014
2019/11/10,12:00:15,CVGPSR003FB03000489000489037461801140293653+061000013341+00030120014014
2019/11/10,12:00:16,CVGPSR003FB03000489000489037461801140293653+061000013341+00030120015014
2019/11/10,12:00:17,CVGPSR003FB03000489000489037461801140293653+061000013341+00030120016014
2019/11/10,12:00:18,CVGPSR003FB03000489000489037461801140293653+061000013341+00030120017014
2019/11/10,12:00:19,CVGPSR003FB03000489000489037461801140293653+061000013341+00030120018014
2019/11/10,12:00:20,CVGPSR003FB03000489000489037461801140293653+061000013341+00030120019014
2019/11/10,12:00:21,CVGPSR003FB03000489000489037461800140293653+061000013341+00030120020014
2019/11/10,12:00:22,CVGPSR003FB03000489000489037461800140293653+061000013341+00030120021014
2019/11/10,12:00:23,CVGPSR003FB03000489000489037461800140293653+061000013341+00030120022014
2019/11/10,12:00:25,CVGPSR003FB03000489000489037461800140293653+061000013341+00030120023014
2019/11/10,12:00:25,CVGPSR003FB03000489000489037461800140293653+061000013341+00030120024014
2019/11/10,12:00:26,CVGPSR003FB03000489000489037461800140293653+061000013341+00030120025014
2019/11/10,12:00:28,CVGPSR003FB03000489000489037461800140293653+061000013341+00030120026014
2019/11/10,12:00:28,CVGPSR003FB03000489000489037461800140293653+062000013341+00030120027014
2019/11/10,12:00:29,CVGPSR003FB03000489000489037461800140293653+062000013341+00030120028014
2019/11/10,12:00:30,CVGPSR003FB03000489000489037461800140293653+062000013341+00030120029014
2019/11/10,12:00:31,CVGPSR003FB03000489000489037461800140293656+062000013341+00030120030014
2019/11/10,12:00:34,CVGPSR003FB03000489000489037461800140293656+062000013341+00030120031014
2019/11/10,12:00:34,CVGPSR003FB03000489000489037461798140293656+062000013341+00030120032014
2019/11/10,12:00:34,CVGPSR003FB03000489000489037461798140293656+062000013341+00030120033014
2019/11/10,12:00:35,CVGPSR003FB03000489000489037461798140293656+062000013341+00030120034014
2019/11/10,12:00:36,CVGPSR003FB03000489000489037461798140293656+062000013341+00030120035014
2019/11/10,12:00:38,CVGPSR003FB03000489000489037461798140293656+062000013341+00030120036014
2019/11/10,12:00:38,CVGPSR003FB03000489000489037461798140293656+062000013341+00030120037014
2019/11/10,12:00:39,CVGPSR003FB03000489000489037461796140293656+062000013341+00030120038014
2019/11/10,12:00:40,CVGPSR003FB03000489000489037461796140293656+062000013341+00030120039014
2019/11/10,12:00:42,CVGPSR003FB03000489000489037461796140293659+062000013341+00030120040014
2019/11/10,12:00:42,CVGPSR003FB03000489000489037461796140293659+062000013341+00030120041014
2019/11/10,12:00:43,CVGPSR003FB03000489000489037461796140293659+062000013341+00030120042014
2019/11/10,12:00:44,CVGPSR003FB03000489000489037461796140293659+062000013341+00030120043014
2019/11/10,12:00:45,CVGPSR003FB03000489000489037461796140293659+062000013341+00030120044014
2019/11/10,12:00:46,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120045014
2019/11/10,12:00:47,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120046014
2019/11/10,12:00:48,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120047014
2019/11/10,12:00:49,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120048014
2019/11/10,12:00:50,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120049014
2019/11/10,12:00:53,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120050014
2019/11/10,12:00:53,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120051014
2019/11/10,12:00:53,CVGPSR003FB03000489000489037461795140293659+062000013341+00030120052014
2019/11/10,12:00:54,CVGPSR003FB03000489000489037461795140293662+062000013341+00030120053014
2019/11/10,12:00:55,CVGPSR003FB03000489000489037461795140293662+062000013341+00030120054014
2019/11/10,12:00:56,CVGPSR003FB03000489000489037461795140293662+062000013341+00030120055014
2019/11/10,12:00:57,CVGPSR003FB03000489000489037461795140293662+062000013341+00030120056014
2019/11/10,12:00:58,CVGPSR003FB03000489000489037461795140293659+063000013341+00030120057014
2019/11/10,12:00:59,CVGPSR003FB03000489000489037461795140293659+063000013341+00030120058014
