,,ナビデータ中身
2019/11/10,12:00:01,CVNAVR103FB03000147000147037461646140293675+029000028834+00070120000008
2019/11/10,12:00:03,CVNAVR103FB03000147000147037461646140293675+029000028833+00070120001008
2019/11/10,12:00:03,CVNAVR103FB03000147000147037461646140293675+029000028831+00070120002008
2019/11/10,12:00:04,CVNAVR103FB03000147000147037461646140293675+029000028828+00070120003008
2019/11/10,12:00:07,CVNAVR103FB03000147000147037461646140293675+029000028828+00070120004008
2019/11/10,12:00:07,CVNAVR103FB03000147000147037461646140293675+029000028824+00070120006008
2019/11/10,12:00:07,CVNAVR103FB03000147000147037461646140293675+029000028827+00070120005008
2019/11/10,12:00:08,CVNAVR103FB03000147000147037461646140293675+029000028824+00070120007008
2019/11/10,12:00:09,CVNAVR103FB03000147000147037461646140293675+029000028822+00070120008008
2019/11/10,12:00:10,CVNAVR103FB03000147000147037461646140293675+029000028820+00070120009008
2019/11/10,12:00:11,CVNAVR103FB03000147000147037461646140293675+029000028818+00070120010008
2019/11/10,12:00:12,CVNAVR103FB03000147000147037461646140293675+029000028818+00070120011008
2019/11/10,12:00:13,CVNAVR103FB03000147000147037461646140293675+029000028816+00070120012008
2019/11/10,12:00:15,CVNAVR103FB03000147000147037461646140293675+029000028815+00070120013008
2019/11/10,12:00:15,CVNAVR103FB03000147000147037461646140293675+029000028812+00070120014008
2019/11/10,12:00:16,CVNAVR103FB03000147000147037461646140293675+029000028812+00070120015008
2019/11/10,12:00:17,CVNAVR103FB03000147000147037461646140293675+029000028812+00070120016008
2019/11/10,12:00:18,CVNAVR103FB03000147000147037461646140293675+029000028811+00070120017008
2019/11/10,12:00:19,CVNAVR103FB03000147000147037461646140293675+029000028809+00070120018008
2019/11/10,12:00:20,CVNAVR103FB03000147000147037461646140293675+029000028811+00070120019008
2019/11/10,12:00:21,CVNAVR103FB03000147000147037461646140293675+029000028811+00070120020008
2019/11/10,12:00:22,CVNAVR103FB03000147000147037461646140293675+029000028809+00070120021008
2019/11/10,12:00:23,CVNAVR103FB03000147000147037461646140293675+029000028807+00070120022008
2019/11/10,12:00:24,CVNAVR103FB03000147000147037461646140293675+029000028804+00070120023008
2019/11/10,12:00:25,CVNAVR103FB03000147000147037461646140293675+029000028804+00070120024008
2019/11/10,12:00:26,CVNAVR103FB03000147000147037461646140293675+029000028805+00070120025008
2019/11/10,12:00:27,CVNAVR103FB03000147000147037461646140293675+029000028804+00070120026008
2019/11/10,12:00:28,CVNAVR103FB03000147000147037461646140293675+029000028802+00070120027008
2019/11/10,12:00:29,CVNAVR103FB03000147000147037461646140293675+029000028799+00070120028008
2019/11/10,12:00:30,CVNAVR103FB03000147000147037461646140293675+029000028800+00070120029008
2019/11/10,12:00:31,CVNAVR103FB03000147000147037461646140293675+029000028797+00070120030008
2019/11/10,12:00:32,CVNAVR103FB03000147000147037461646140293675+029000028795+00070120031008
2019/11/10,12:00:33,CVNAVR103FB03000147000147037461646140293675+029000028794+00070120032008
2019/11/10,12:00:34,CVNAVR103FB03000147000147037461646140293675+029000028792+00070120033008
2019/11/10,12:00:39,CVNAVR103FB03000147000147037461646140293675+029000028789+00070120035008
2019/11/10,12:00:39,CVNAVR103FB03000147000147037461646140293675+029000028790+00070120034008
2019/11/10,12:00:39,CVNAVR103FB03000147000147037461650140293668+029006328788+00070120036008
