,,ナビデータ中身
2019/11/10,12:00:01,CVGPSR001FC01000510000470037461918140293368+067000030306-04070120000114
2019/11/10,12:00:02,CVGPSR001FC01000510000470037461918140293368+067000030306-04070120001114
2019/11/10,12:00:03,CVGPSR001FC01000510000470037461918140293368+067000030306-04070120002114
2019/11/10,12:00:04,CVGPSR001FC01000510000470037461918140293368+067000030306-04070120003114
2019/11/10,12:00:05,CVGPSR001FC01000510000470037461918140293368+067000030306-04070120004114
2019/11/10,12:00:06,CVGPSR001FC01000510000470037461918140293368+067000030305-04070120005114
2019/11/10,12:00:07,CVGPSR001FC01000510000470037461918140293368+067000030305-04070120006114
2019/11/10,12:00:08,CVGPSR001FC01000510000470037461918140293368+067000030303-04070120007114
2019/11/10,12:00:09,CVGPSR001FC01000510000470037461918140293368+067000030304-04070120008114
2019/11/10,12:00:10,CVGPSR001FC01000510000470037461918140293368+067000030306-04070120009114
2019/11/10,12:00:11,CVGPSR001FC01000510000470037461918140293368+067000030304-04070120010114
2019/11/10,12:00:12,CVGPSR001FC01000510000470037461918140293368+067000030303-04070120011114
2019/11/10,12:00:13,CVGPSR001FC01000510000470037461918140293368+067000030304-04070120012114
2019/11/10,12:00:14,CVGPSR001FC01000510000470037461918140293368+067000030302-04070120013114
2019/11/10,12:00:15,CVGPSR001FC01000510000470037461918140293368+067000030301-04070120014114
2019/11/10,12:00:16,CVGPSR001FC01000510000470037461918140293368+067000030301-04070120015114
2019/11/10,12:00:17,CVGPSR001FC01000510000470037461918140293368+067000030300-04070120016114
2019/11/10,12:00:18,CVGPSR001FC01000510000470037461918140293368+067000030296-04070120017114
2019/11/10,12:00:19,CVGPSR001FC01000510000470037461918140293368+067000030298-04070120018114
2019/11/10,12:00:20,CVGPSR001FC01000510000470037461918140293368+067000030300-04070120019114
2019/11/10,12:00:21,CVGPSR001FC01000510000470037461918140293368+067000030299-04070120020114
2019/11/10,12:00:22,CVGPSR001FC01000510000470037461918140293368+067000030298-04070120021114
2019/11/10,12:00:23,CVGPSR001FC01000510000470037461918140293368+067000030298-04070120022114
2019/11/10,12:00:24,CVGPSR001FC01000510000470037461918140293368+067000030298-04070120023114
2019/11/10,12:00:25,CVGPSR001FC01000510000470037461918140293368+067000030296-04070120024114
2019/11/10,12:00:26,CVGPSR001FC01000510000470037461918140293368+067000030298-04070120025114
2019/11/10,12:00:27,CVGPSR001FC01000510000470037461918140293368+067000030297-04070120026114
2019/11/10,12:00:28,CVGPSR001FC01000510000470037461918140293368+067000030296-04070120027114
2019/11/10,12:00:29,CVGPSR001FC01000510000470037461918140293368+067000030294-04070120028114
2019/11/10,12:00:30,CVGPSR001FC01000510000470037461918140293368+067000030295-04070120029114
2019/11/10,12:00:31,CVGPSR001FC01000510000470037461918140293368+067000030295-04070120030114
2019/11/10,12:00:32,CVGPSR001FC01000510000470037461918140293368+067000030293-04070120031114
2019/11/10,12:00:33,CVGPSR001FC01000510000470037461918140293368+067000030292-04070120032114
2019/11/10,12:00:34,CVGPSR001FC01000510000470037461918140293368+067000030294-04070120033114
2019/11/10,12:00:35,CVGPSR001FC01000510000470037461918140293368+067000030293-04070120034114
2019/11/10,12:00:36,CVGPSR001FC01000510000470037461918140293368+067000030294-04070120035114
2019/11/10,12:00:37,CVGPSR001FC01000510000470037461918140293368+067000030293-04070120036114
2019/11/10,12:00:38,CVGPSR001FC01000510000470037461918140293368+067000030290-04070120037114
2019/11/10,12:00:39,CVGPSR001FC01000510000470037461918140293368+067000030288-04070120038114
