,,ナビデータ中身
2019/11/10,12:00:02,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120000107
2019/11/10,12:00:03,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120001107
2019/11/10,12:00:04,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120002107
2019/11/10,12:00:05,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120003108
2019/11/10,12:00:06,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120004108
2019/11/10,12:00:07,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120005108
2019/11/10,12:00:08,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120006108
2019/11/10,12:00:10,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120007108
2019/11/10,12:00:10,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120008108
2019/11/10,12:00:11,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120009107
2019/11/10,12:00:12,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120010108
2019/11/10,12:00:13,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120011108
2019/11/10,12:00:14,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120012108
2019/11/10,12:00:15,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120013107
2019/11/10,12:00:16,CVNAVR101FC01000511000471037461934140293378+015000030795-04070120014107
2019/11/10,12:00:17,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120015108
2019/11/10,12:00:18,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120016108
2019/11/10,12:00:19,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120017107
2019/11/10,12:00:20,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120018107
2019/11/10,12:00:21,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120019107
2019/11/10,12:00:22,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120020107
2019/11/10,12:00:23,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120021107
2019/11/10,12:00:24,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120022107
2019/11/10,12:00:25,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120023107
2019/11/10,12:00:26,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120024107
2019/11/10,12:00:27,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120025106
2019/11/10,12:00:28,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120026107
2019/11/10,12:00:29,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120027107
2019/11/10,12:00:30,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120028107
2019/11/10,12:00:31,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120029106
2019/11/10,12:00:32,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120030106
2019/11/10,12:00:33,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120031106
2019/11/10,12:00:34,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120032106
2019/11/10,12:00:36,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120033107
2019/11/10,12:00:36,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120034106
2019/11/10,12:00:37,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120035106
2019/11/10,12:00:38,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120036107
2019/11/10,12:00:39,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120037107
2019/11/10,12:00:40,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120038107
2019/11/10,12:00:41,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120039107
2019/11/10,12:00:42,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120040107
2019/11/10,12:00:43,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120041107
2019/11/10,12:00:44,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120042107
2019/11/10,12:00:45,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120043107
2019/11/10,12:00:46,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120044107
2019/11/10,12:00:47,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120045107
2019/11/10,12:00:48,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120046107
2019/11/10,12:00:49,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120047108
2019/11/10,12:00:50,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120048108
2019/11/10,12:00:51,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120049108
2019/11/10,12:00:52,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120050108
2019/11/10,12:00:53,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120051108
2019/11/10,12:00:54,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120052108
2019/11/10,12:00:55,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120053107
2019/11/10,12:00:56,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120054108
2019/11/10,12:00:57,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120055106
2019/11/10,12:00:58,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120056107
2019/11/10,12:00:59,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120057108
2019/11/10,12:01:01,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120058107
