ì˙ït,,,,,NAVIÉfÅ[É^,ë¨ìxÉiÉ},éûä‘ÉiÉ},éûä‘,NAV/GPS,ë¨ìx(km/h),à‹ìx,åoìx
2019/11/10,04:21.4,[INFO],[tid:,8][eid:,0]02435647505352303031464330313030303531303030303437303033373436313931383134303239333336352B3036373030303633303232332D303430373031323034323031313403,30303036,3.1323E+11,12:04:20,GPS,0.6,37ìx46ï™19.18ïb,140ìx29ï™33.65ïb
2019/11/10,04:21.8,[INFO],[tid:,8][eid:,0]02435647505352303031464330313030303531303030303437303033373436313932303134303239333336352B3036373030303733303334332D303430373031323034323131313403,30303037,3.1323E+11,12:04:21,GPS,0.7,37ìx46ï™19.2ïb,140ìx29ï™33.65ïb
2019/11/10,04:22.8,[INFO],[tid:,8][eid:,0]02435647505352303031464330313030303531313030303437313033373436313932313134303239333336322B3036373030333333303533392D303430373031323034323231313403,30303333,3.1323E+11,12:04:22,GPS,3.3,37ìx46ï™19.21ïb,140ìx29ï™33.62ïb
2019/11/10,04:23.8,[INFO],[tid:,8][eid:,0]02435647505352303031464330313030303531343030303437343033373436313932363134303239333335362B3036373030373433303639332D303430373031323034323331313403,30303734,3.1323E+11,12:04:23,GPS,7.4,37ìx46ï™19.26ïb,140ìx29ï™33.56ïb
2019/11/10,04:24.8,[INFO],[tid:,8][eid:,0]02435647505352303031464330313030303531373030303437373033373436313933313134303239333334362B3036373030393333303731332D303430373031323034323431313403,30303933,3.1323E+11,12:04:24,GPS,9.3,37ìx46ï™19.31ïb,140ìx29ï™33.46ïb
2019/11/10,04:25.8,[INFO],[tid:,8][eid:,0]02435647505352303031464330313030303532323030303438323033373436313933353134303239333333372B3036373030393233303634332D303430373031323034323531313403,30303932,3.1323E+11,12:04:25,GPS,9.2,37ìx46ï™19.35ïb,140ìx29ï™33.37ïb
2019/11/10,04:26.8,[INFO],[tid:,8][eid:,0]02435647505352303031464330313030303532343030303438343033373436313934303134303239333333312B3036373030383933303536332D303430373031323034323631313403,30303839,3.1323E+11,12:04:26,GPS,8.9,37ìx46ï™19.4ïb,140ìx29ï™33.31ïb
2019/11/10,04:27.8,[INFO],[tid:,26][eid:,0]02435647505352303031464330313030303532373030303438373033373436313934353134303239333332312B3036373030383833303439322D303430373031323034323731313403,30303838,3.1323E+11,12:04:27,GPS,8.8,37ìx46ï™19.45ïb,140ìx29ï™33.21ïb
2019/11/10,04:28.8,[INFO],[tid:,26][eid:,0]02435647505352303031464330313030303532393030303438393033373436313935303134303239333331322B3036373030383933303435312D303430373031323034323831313403,30303839,3.1323E+11,12:04:28,GPS,8.9,37ìx46ï™19.5ïb,140ìx29ï™33.12ïb
2019/11/10,04:29.8,[INFO],[tid:,26][eid:,0]02435647505352303031464330313030303533323030303439323033373436313935343134303239333330362B3036373030383933303434352D303430373031323034323931313403,30303839,3.1323E+11,12:04:29,GPS,8.9,37ìx46ï™19.54ïb,140ìx29ï™33.06ïb
